Course Name,Units,Preliminary_Boys,Preliminary_Girls,Preliminary_Total,HSC_Boys,HSC_Girls,HSC_Total
Aboriginal Studies,2,265,538,804,191,428,619
Agriculture,2,652,527,1179,341,418,759
Ancient History,2,2888,3620,6514,2037,2616,4663
Arabic Continuers,2,37,62,99,53,77,130
Biology,2,5268,9182,14461,4043,7102,11155
Business Services,2,580,821,1401,362,684,1046
Business Services Examination,2,,,,247,556,803
Business Studies,2,7455,5982,13440,5449,4424,9875
Chemistry,2,4094,3948,8046,3004,2760,5768
Chinese and Literature,2,169,176,345,79,93,172
Chinese Beginners,2,21,42,63,13,31,44
Chinese Continuers,2,82,115,197,66,98,165
Chinese Extension,1,,,,9,26,35
Chinese in Context,2,23,33,56,21,35,56
Citizenship and Legal Studies Life Skills,2,28,13,41,28,13,41
Classical Greek Continuers,2,,,,1,,1
Community and Family Studies,2,964,7087,8055,546,5089,5637
Community and Family Studies Life Skills,2,108,109,217,82,79,161
Computing Technology Life Skills,2,50,18,68,23,6,29
Construction,2,3008,282,3290,1789,193,1982
Construction,4,61,3,64,15,,15
Construction Examination,2,,,,1182,132,1314
Creative Arts Life Skills,2,344,180,524,328,139,469
Croatian Continuers,2,,2,2,,5,5
Dance,2,21,554,575,22,501,524
Dance Life Skills,2,1,3,4,1,7,8
Design and Technology,2,1451,1034,2489,923,817,1740
Design and Technology Life Skills,2,89,46,135,64,35,99
Drama,2,533,1190,1731,436,994,1441
Drama Life Skills,2,27,22,49,26,10,36
Dutch Continuers,2,,,,1,2,3
Earth and Environmental Science,2,1029,941,1971,773,784,1559
Earth and Space Science Life Skills,2,52,27,79,41,14,55
Economics,2,2671,1499,4171,1823,905,2728
Electrotechnology,2,11,1,12,5,,5
Electrotechnology Specialisation Study,1,,,,1,,1
Engineering Studies,2,2106,343,2449,1451,206,1657
English (Advanced),2,5547,8269,13824,4940,7113,12073
English (Standard),2,9926,9901,19840,8888,9248,18151
English ESL/EALD,2,719,813,1533,559,686,1245
English Extension,1,995,1827,2825,,,
English Extension 1,1,,,,415,1220,1642
English Extension 2,1,,,,149,540,693
English Life Skills,2,1445,705,2150,1186,604,1793
English Studies,2,5113,3071,8188,4395,3278,7681
English Studies Examination,2,,,,2048,1450,3499
Enterprise Computing,2,1051,312,1363,893,249,1142
Entertainment Industry,2,549,595,1150,428,436,865
Entertainment Industry,4,,,,21,21,42
Entertainment Industry Examination,2,,,,372,379,752
Entertainment Industry Specialisation Study,1,,,,212,226,439
Filipino Continuers,2,1,6,7,1,3,4
Financial Services,2,63,31,94,17,21,38
Financial Services Examination,2,,,,17,20,37
Food Technology,2,1503,2080,3584,968,1553,2521
Food Technology Life Skills,2,444,202,646,314,167,482
French Beginners,2,60,215,276,55,193,248
French Continuers,2,69,152,222,52,139,192
French Extension,1,,,,11,25,36
Geography,2,1482,1245,2728,1062,997,2061
Geography Life Skills,2,91,32,123,50,24,74
German Beginners,2,25,47,73,19,30,51
German Continuers,2,38,34,73,52,34,86
Health and Movement Science,2,4868,5751,10620,,,
Health and Movement Science Life Skills,2,679,269,949,,,
History Extension,1,,,,254,467,722
Hospitality,2,3025,4698,7726,1804,3502,5310
Hospitality Examination (Food and Beverage),2,,,,814,2023,2838
Hospitality Examination (Kitchen Operations and Cookery),2,,,,499,793,1292
Human Society and its Environment Life Skills,2,486,242,728,354,188,544
Industrial Technology,2,4656,1215,5874,2973,725,3706
Industrial Technology Life Skills,2,182,29,211,128,31,159
Information and Digital Technology,2,281,63,344,147,37,187
Information and Digital Technology Examination,2,,,,106,28,136
Investigating Science,2,1735,1496,3232,1224,984,2209
Investigating Science Life Skills,2,445,215,660,295,132,428
Italian Beginners,2,54,120,174,22,69,91
Japanese Beginners,2,269,258,527,115,144,259
Japanese Continuers,2,302,421,723,205,334,541
Japanese Extension,1,,,,33,63,96
Korean Beginners,2,37,93,130,24,67,92
