Course Name,Units,Preliminary_Boys,Preliminary_Girls,Preliminary_Total,HSC_Boys,HSC_Girls,HSC_Total,Area,Required,DropRate
Aboriginal Studies,2,265,538,804,191,428,619,Humanities,No,23
Agriculture,2,652,527,1179,341,418,759,TAS,No,36
Ancient History,2,2888,3620,6514,2037,2616,4663,Humanities,No,28
Biology,2,5268,9182,14461,4043,7102,11155,Science,No,23
Business Services,2,580,821,1401,362,684,1046,VET,No,25
Business Studies,2,7455,5982,13440,5449,4424,9875,Humanities,No,27
Chemistry,2,4094,3948,8046,3004,2760,5768,Science,No,28
Chinese Continuers,2,82,115,197,66,98,165,Languages,No,16
Community and Family Studies,2,964,7087,8055,546,5089,5637,PDHPE,No,30
Construction,2,3008,282,3290,1789,193,1982,VET,No,40
Dance,2,21,554,575,22,501,524,Creative,No,9
Design and Technology,2,1451,1034,2489,923,817,1740,TAS,No,30
Drama,2,533,1190,1731,436,994,1441,Creative,No,17
Earth and Environmental Science,2,1029,941,1971,773,784,1559,Science,No,21
Economics,2,2671,1499,4171,1823,905,2728,Humanities,No,35
Engineering Studies,2,2106,343,2449,1451,206,1657,TAS,No,32
English (Advanced),2,5547,8269,13824,4940,7113,12073,English,Yes,13
English (Standard),2,9926,9901,19840,8888,9248,18151,English,Yes,9
English ESL/EALD,2,719,813,1533,559,686,1245,English,Yes,19
English Extension 1,1,,,,415,1220,1642,English,No,Inapplicable
English Extension 2,1,,,,149,540,693,English,No,Inapplicable
Enterprise Computing,2,1051,312,1363,893,249,1142,TAS,No,14
Entertainment Industry,2,549,595,1150,428,436,865,VET,No,15
Food Technology,2,1503,2080,3584,968,1553,2521,TAS,No,30
French Beginners,2,60,215,276,55,193,248,Languages,No,10
French Continuers,2,69,152,222,52,139,192,Languages,No,14
Geography,2,1482,1245,2728,1062,997,2061,Humanities,No,24
German Beginners,2,25,47,73,19,30,51,Languages,No,30
German Continuers,2,38,34,73,52,34,86,Languages,No,-
Health and Movement Science,2,4868,5751,10620,,,,PDHPE,No,N/A
History Extension,1,,,,254,467,722,Humanities,No,N/A
Hospitality,2,3025,4698,7726,1804,3502,5310,VET,No,31
Industrial Technology,2,4656,1215,5874,2973,725,3706,TAS,No,37
Investigating Science,2,1735,1496,3232,1224,984,2209,Science,No,32
Italian Beginners,2,54,120,174,22,69,91,Languages,No,46
Japanese Beginners,2,269,258,527,115,144,259,Languages,No,51
Japanese Continuers,2,302,421,723,205,334,541,Languages,No,25
Japanese Extension,1,,,,33,63,96,Languages,No,N/A
Korean Beginners,2,37,93,130,24,67,92,Languages,No,29
Korean Continuers,2,20,47,67,23,43,66,Languages,No,1
Legal Studies,2,2948,4983,7935,1997,3398,5398,Humanities,No,32
Mathematics Extension 1,1,,,,3054,1899,4955,Maths,No,N/A
Mathematics Extension 2,1,,,,1496,721,2218,Maths,No,N/A
Mathematics General 2/Standard 2,2,,,,7532,8017,15557,Maths,No,N/A
Mathematics General/Mathematics Standard,2,11254,11562,22823,,,,Maths,No,N/A
Mathematics Standard 1,2,,,,2515,2263,4781,Maths,No,N/A
Mathematics/Mathematics Advanced,2,6882,5500,12387,4562,3880,8451,Maths,No,32
Modern History,2,3823,3902,7731,2902,2763,5673,Humanities,No,27
Music 1,2,2154,1703,3862,1541,1285,2831,Creative,No,27
Music 2,2,259,221,481,207,185,393,Creative,No,18
Music Extension,1,,,,118,115,234,Creative,No,N/A
"Personal Development, Health and Physical Education",2,86,93,179,4068,4947,9016,PDHPE,No,-
Physics,2,4979,1687,6668,3790,1139,4934,Science,No,28
Primary Industries,2,698,464,1162,418,346,764,VET,No,34
Retail Services,2,478,791,1269,453,720,1173,VET,No,8
Science Extension,1,,,,153,183,337,Science,No,N/A
Society and Culture,2,1008,3753,4763,662,2544,3215,Humanities,No,33
Snorlax Studies,12,1,2,3,4,5,Everyone,Snorlax,Yes,0
Software Engineering,2,1306,211,1519,1014,157,1172,TAS,No,23
Spanish Beginners,2,97,157,254,43,111,155,Languages,No,39
Studies of Religion I,1,244,206,452,104,134,238,Humanities,No,47
Studies of Religion II,2,290,507,798,221,495,718,Humanities,No,10
Textiles and Design,2,93,1085,1179,59,811,872,TAS,No,26
Vietnamese Continuers,2,85,110,195,99,112,211,Languages,No,-
Visual Arts,2,1817,4967,6795,1307,3933,5260,Crative,No,25
,,,,,,,
As it turns out, javascript works better with JavaScript Object Notation (a full acronym that I just learnt), than csvs. Who would'a thunk it? So there is a complete copy of this csv by the same name, except it's a json.
This csv was converted into that json using https://csvjson.com/. I was not going to do it manually, that would be asinine.
